config,baseline,instant-removal-offsetting,physical-delay-offsetting,accelerated-emissions-offsetting,upfront-embodied-offsetting
206197,1.800198011086447,1.800198011086447,1.8364476271085528,1.8689530317372134,1.8057419889239013
206583,1.6728918685605167,1.6728918685605167,1.7120721692791034,1.7472643142103381,1.6789831422147183
208693,2.3792834400589147,2.3792834400589147,2.426023386313406,2.4679060902679533,2.3863520528491913
212567,2.2452995416421078,2.2452995416421078,2.273259685320762,2.2989694388974544,2.25019397874163
213587,2.278758187853886,2.278758187853886,2.3120359486635165,2.34192701224175,2.2841615524700556
216803,2.03176206420489,2.03176206420489,2.0550620253082226,2.0759311875305944,2.0360093376411483
218232,1.6064099108122174,1.6064099108122174,1.6297237819636925,1.6515994539999315,1.6106071031078222
220668,2.2937414775478233,2.2937414775478233,2.3368716807645766,2.375538827265329,2.300531879810371
221634,2.7413847629665815,2.7413847629665815,2.7977315859871963,2.8482254952304413,2.7497303174013723
222497,2.1546129455042218,2.1546129455042218,2.180456298295762,2.203609799503986,2.1593772674783667
227963,1.5259668747008963,1.5259668747008963,1.5540191129352796,1.5791455708469424,1.5304984656646512
228282,2.4733961136395775,2.4733961136395775,2.5114606555237047,2.545633654583005,2.479970098537027
228996,2.065627610390984,2.065627610390984,2.096131181617611,2.1238692737479257,2.070883387723384
231630,1.863289035754366,1.863289035754366,1.9005055473580756,1.9337886047391573,1.868930756450555
231741,1.765935087416122,1.765935087416122,1.8019394211254762,1.8342418832507128,1.7711022016945341
233302,1.7893693878250654,1.7893693878250654,1.8047134024529157,1.8184810776171796,1.7925194609056176
235104,1.8645621403135333,1.8645621403135333,1.9008698970246511,1.9334414559994169,1.8699982439775882
235496,1.5146333608555929,1.5146333608555929,1.533530060664878,1.550457722369285,1.5179279811430413
237430,2.050651061072425,2.050651061072425,2.087017453732629,2.119626938220681,2.0565558261782475
238727,2.042654413654699,2.042654413654699,2.0822205503436986,2.117735678286844,2.048549118662139
240434,1.7361726105650186,1.7361726105650186,1.7534620349094314,1.7689621653821381,1.7396564454398067
243329,2.3143587601637354,2.3143587601637354,2.338928831161216,2.3609510235333193,2.319112570140582
244039,2.6347119976363174,2.6347119976363174,2.6858447988965297,2.732365275013258,2.6428474193019555
